seed,passed,final_loss,min_loss,one_step_full_state_accuracy,termination_accuracy,rollout_30,rollout_50
0,1,0.021668959222643686,0.021489339914864496,1.0,1.0,1.0,1.0
1,1,0.022619425214130035,0.022619425214130035,1.0,1.0,1.0,1.0
2,1,0.02249825823757756,0.022441465361201816,1.0,1.0,1.0,1.0
3,1,0.021578043187059682,0.02142281495016637,1.0,1.0,1.0,1.0
4,1,0.021863750368717856,0.021759750719226884,1.0,1.0,1.0,1.0
5,1,0.021846724399268425,0.021659928150709773,1.0,1.0,1.0,1.0
6,1,0.02120179009456341,0.021162444962729426,1.0,1.0,1.0,1.0
7,1,0.020559869939845075,0.020516466516577035,1.0,1.0,1.0,1.0
