epoch,loss
1,122.63949290690235
2,4.228437918548843
3,3.8773934941469785
4,3.653512212436175
5,3.4406639778203774
6,3.2272846833052014
7,3.0328658473532117
8,2.841762078045296
9,2.6211991337393883
10,2.398361017284495
11,2.1885617695672965
12,1.9930344958589659
13,1.81812789176658
14,1.6660090936021903
15,1.5358987347454454
16,1.425443624883847
17,1.3287924740884238
18,1.2426838887991745
19,1.1656158930690208
20,1.0978370705797322
21,1.0392976005274985
22,0.9879563320856098
23,0.9423846940767747
24,0.901971862897443
25,0.8660247297525059
26,0.8332220732212298
27,0.7982922517380782
28,0.7623739258791137
29,0.7323865529696917
30,0.7063561310308163
31,0.6831835977267248
32,0.6618747883205904
33,0.6450941867581051
34,0.6328836782372697
35,0.622585402133681
36,0.6130713245155623
37,0.6035927999210311
38,0.5942534548243561
39,0.5866919872371306
40,0.5793550067773099
41,0.571859636765571
42,0.5651808329247989
43,0.5599645339570113
44,0.5547251363720527
45,0.5494674853543546
46,0.5439573103227028
47,0.5382430693910241
48,0.5324006518228969
49,0.52632829997647
50,0.5202159705522623
51,0.5137846338852944
52,0.5071874130771857
53,0.5003989728024095
54,0.49328562170339335
55,0.4859459432420717
56,0.4784782104826181
57,0.47075172859202064
58,0.46267813929237905
59,0.45456616966052943
60,0.4463406460931217
61,0.4379606182605274
62,0.4294814293498965
63,0.4209392598977785
64,0.4124335441523481
65,0.40394363640525416
66,0.3955986342237115
67,0.3874327195742381
68,0.37947594372323573
69,0.371631795832444
70,0.3612107361137318
71,0.3480442820303774
72,0.3356464263483326
73,0.32458864605317
74,0.3122051101313363
75,0.29678921659508206
76,0.28495286093772876
77,0.2728233147984966
78,0.26193039763828996
79,0.2516152354593827
80,0.24169095119572473
81,0.23245928707598945
82,0.22357720537377512
83,0.21506811268717932
84,0.20732653773038986
85,0.19972865873323847
86,0.19264182027138615
87,0.18583951653552414
88,0.17950946619310718
89,0.17348905719863636
90,0.16763506537204914
91,0.16234318634230593
92,0.15735389335867392
93,0.15079246599351787
94,0.1406871877621518
95,0.125435625654485
96,0.10906901990853059
97,0.09643299029512539
98,0.08773103897801546
99,0.08136018647392919
100,0.07655420555068172
101,0.07221552468998826
102,0.06817948987804104
103,0.06467688076208936
104,0.06159837286968111
105,0.058861020781637914
106,0.05612019280308494
107,0.05403789723607099
108,0.05167756444091538
109,0.049736429214246404
110,0.04801814744210162
111,0.046147920012878554
112,0.044673510967341665
113,0.04302280168263472
114,0.04185408496858134
115,0.04054967759306201
116,0.03928707611507371
117,0.03828150161834983
118,0.03723258689349274
119,0.03624203739470206
120,0.03551503536763176
121,0.03460945941930365
122,0.03396868065389625
123,0.03326243804429147
124,0.031042721126656538
125,0.027662097610861885
126,0.025988138855854343
127,0.025263237599617523
128,0.025097149304984207
129,0.02455859807867537
130,0.024223247290351007
131,0.02412179498208693
132,0.024142035099953572
133,0.023877545217999226
134,0.02365833335690168
135,0.023924385653596537
136,0.023552853941476812
137,0.023553257501109447
138,0.02329845167750649
139,0.02331073834690375
140,0.0233401735987238
141,0.023368265841948975
142,0.023126795138916342
143,0.02325866593610472
144,0.023153566384902003
145,0.023095726000413232
146,0.023221124329080987
147,0.023152755037621854
148,0.023163441718130277
149,0.023153195927624732
150,0.023039625010124066
151,0.02303248898289155
152,0.022939920539178146
153,0.022984038615148736
154,0.02285818878418603
155,0.023020846061083483
156,0.02314057587887469
157,0.022801474436496393
158,0.022964733234826534
159,0.022864697960539894
160,0.022821963779263512
161,0.022728086053292205
162,0.02268888193425974
163,0.02263484920853125
164,0.022732401274820006
165,0.02266046049861554
166,0.022730146572842537
167,0.022670895712819425
168,0.02254280529788077
169,0.0227877453023724
170,0.02279618616643399
171,0.022673101324300945
172,0.022544151123647427
173,0.02254863899658013
174,0.022507807678148924
175,0.022427413707316442
176,0.022579314157554552
177,0.02233550809161269
178,0.022381605576295847
179,0.022660573357576257
180,0.02238526567581985
181,0.022451274297224974
182,0.022422239983068817
183,0.022590667521468193
184,0.022434999733545714
185,0.022491370896676532
186,0.022324530689124336
187,0.022462470788857165
188,0.022283389045795046
189,0.022350392382279566
190,0.022408849072709888
191,0.02242789790937176
192,0.022251295451286113
193,0.02253396057849276
194,0.02220879551664291
195,0.022200740310054236
196,0.02234303031010184
197,0.022339698489009612
198,0.022178013169423822
199,0.022108479828758403
200,0.022157488161651938
201,0.022243374514416533
202,0.02212337188140981
203,0.022315833444914307
204,0.0220925082481036
205,0.02240121528665186
206,0.02207989012185977
207,0.022271385771582212
208,0.02222608048333396
209,0.022309093564022848
210,0.022154910503460027
211,0.02209148009895007
212,0.022095320102006155
213,0.022230954338235295
214,0.02211324222371437
215,0.022075547803404604
216,0.022083871653082298
217,0.02214912283539021
218,0.02212187563797339
219,0.02202064316815476
220,0.022057624590473446
221,0.021992804969413096
222,0.022002823013944125
223,0.022161144002282498
224,0.02197275355158503
225,0.021992813561145998
226,0.02204186921371341
227,0.022024477459580586
228,0.02188089692200409
229,0.022138074991147436
230,0.021958814278223302
231,0.02190624827896464
232,0.021850363436365844
233,0.021771024014408936
234,0.021817126273801907
235,0.021840923001075103
236,0.021739551082787963
237,0.02162379988361289
238,0.0218254738592489
239,0.021738499358397518
240,0.021777618778269094
241,0.02176360006701929
242,0.02177342487100947
243,0.021825467835582694
244,0.021685324458317796
245,0.021770102116114527
246,0.021640364486242
247,0.0216286918075265
248,0.02159482419303015
249,0.021688807710203453
250,0.021579921247741867
